kind-control-plane,1013m,12%,1343Mi,16%,
kind-worker,42m,0%,341Mi,4%,
kind-worker2,51m,0%,390Mi,4%,
kind-worker3,46m,0%,370Mi,4%,
idx,66,LOG_TIME,2023-05-01T08:24:44,2023-05-01T03:24:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1013m,12%,1343Mi,16%,
kind-worker,42m,0%,341Mi,4%,
kind-worker2,51m,0%,390Mi,4%,
kind-worker3,46m,0%,370Mi,4%,
idx,67,LOG_TIME,2023-05-01T08:24:44,2023-05-01T03:24:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1058m,13%,1345Mi,16%,
kind-worker,110m,1%,351Mi,4%,
kind-worker2,56m,0%,390Mi,4%,
kind-worker3,30m,0%,371Mi,4%,
idx,68,LOG_TIME,2023-05-01T08:24:44,2023-05-01T03:24:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1058m,13%,1345Mi,16%,
kind-worker,110m,1%,351Mi,4%,
kind-worker2,56m,0%,390Mi,4%,
kind-worker3,30m,0%,371Mi,4%,
idx,69,LOG_TIME,2023-05-01T08:24:44,2023-05-01T03:24:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1058m,13%,1345Mi,16%,
kind-worker,110m,1%,351Mi,4%,
kind-worker2,56m,0%,390Mi,4%,
kind-worker3,30m,0%,371Mi,4%,
idx,70,LOG_TIME,2023-05-01T08:24:44,2023-05-01T03:24:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1058m,13%,1345Mi,16%,
kind-worker,110m,1%,351Mi,4%,
kind-worker2,56m,0%,390Mi,4%,
kind-worker3,30m,0%,371Mi,4%,
idx,71,LOG_TIME,2023-05-01T08:24:44,2023-05-01T03:24:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1058m,13%,1345Mi,16%,
kind-worker,110m,1%,351Mi,4%,
kind-worker2,56m,0%,390Mi,4%,
kind-worker3,30m,0%,371Mi,4%,
idx,72,LOG_TIME,2023-05-01T08:24:44,2023-05-01T03:24:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1058m,13%,1345Mi,16%,
kind-worker,110m,1%,351Mi,4%,
kind-worker2,56m,0%,390Mi,4%,
kind-worker3,30m,0%,371Mi,4%,
idx,73,LOG_TIME,2023-05-01T08:24:44,2023-05-01T03:24:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1058m,13%,1345Mi,16%,
kind-worker,110m,1%,351Mi,4%,
kind-worker2,56m,0%,390Mi,4%,
kind-worker3,30m,0%,371Mi,4%,
