idx,60,LOG_TIME,2023-05-14T19:15:31,2023-05-14T14:15:31
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,404m,5%,840Mi,10%,
kind-worker,144m,1%,301Mi,3%,
kind-worker2,107m,1%,302Mi,3%,
kind-worker3,154m,1%,296Mi,3%,
idx,61,LOG_TIME,2023-05-14T19:15:32,2023-05-14T14:15:32
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,404m,5%,840Mi,10%,
kind-worker,144m,1%,301Mi,3%,
kind-worker2,107m,1%,302Mi,3%,
kind-worker3,154m,1%,296Mi,3%,
idx,62,LOG_TIME,2023-05-14T19:15:33,2023-05-14T14:15:33
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,404m,5%,840Mi,10%,
kind-worker,144m,1%,301Mi,3%,
kind-worker2,107m,1%,302Mi,3%,
kind-worker3,154m,1%,296Mi,3%,
idx,63,LOG_TIME,2023-05-14T19:15:34,2023-05-14T14:15:34
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,395m,4%,842Mi,10%,
kind-worker,145m,1%,300Mi,3%,
kind-worker2,169m,2%,319Mi,4%,
kind-worker3,273m,3%,316Mi,3%,
idx,64,LOG_TIME,2023-05-14T19:15:35,2023-05-14T14:15:35
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,395m,4%,842Mi,10%,
kind-worker,145m,1%,300Mi,3%,
kind-worker2,169m,2%,319Mi,4%,
kind-worker3,273m,3%,316Mi,3%,
idx,65,LOG_TIME,2023-05-14T19:15:36,2023-05-14T14:15:36
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,395m,4%,842Mi,10%,
kind-worker,145m,1%,300Mi,3%,
kind-worker2,169m,2%,319Mi,4%,
kind-worker3,273m,3%,316Mi,3%,
idx,66,LOG_TIME,2023-05-14T19:15:37,2023-05-14T14:15:37
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,395m,4%,842Mi,10%,
kind-worker,145m,1%,300Mi,3%,
kind-worker2,169m,2%,319Mi,4%,
kind-worker3,273m,3%,316Mi,3%,
idx,67,LOG_TIME,2023-05-14T19:15:38,2023-05-14T14:15:38
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,395m,4%,842Mi,10%,
kind-worker,145m,1%,300Mi,3%,
kind-worker2,169m,2%,319Mi,4%,
kind-worker3,273m,3%,316Mi,3%,
idx,68,LOG_TIME,2023-05-14T19:15:39,2023-05-14T14:15:39
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,395m,4%,842Mi,10%,
kind-worker,145m,1%,300Mi,3%,
kind-worker2,169m,2%,319Mi,4%,
kind-worker3,273m,3%,316Mi,3%,
idx,69,LOG_TIME,2023-05-14T19:15:40,2023-05-14T14:15:41
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,395m,4%,842Mi,10%,
kind-worker,145m,1%,300Mi,3%,
kind-worker2,169m,2%,319Mi,4%,
kind-worker3,273m,3%,316Mi,3%,
idx,70,LOG_TIME,2023-05-14T14:15:41,2023-05-14T14:15:42
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,395m,4%,842Mi,10%,
kind-worker,145m,1%,300Mi,3%,
kind-worker2,169m,2%,319Mi,4%,
kind-worker3,273m,3%,316Mi,3%,
idx,71,LOG_TIME,2023-05-14T19:15:42,2023-05-14T14:15:43
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,395m,4%,842Mi,10%,
kind-worker,145m,1%,300Mi,3%,
kind-worker2,169m,2%,319Mi,4%,
kind-worker3,273m,3%,316Mi,3%,
idx,72,LOG_TIME,2023-05-14T19:15:44,2023-05-14T14:15:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,395m,4%,842Mi,10%,
kind-worker,145m,1%,300Mi,3%,
kind-worker2,169m,2%,319Mi,4%,
kind-worker3,273m,3%,316Mi,3%,
idx,73,LOG_TIME,2023-05-14T19:15:45,2023-05-14T14:15:45
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,365m,4%,840Mi,10%,
kind-worker,141m,1%,302Mi,3%,
kind-worker2,159m,1%,320Mi,4%,
kind-worker3,246m,3%,317Mi,3%,
idx,74,LOG_TIME,2023-05-14T19:15:46,2023-05-14T14:15:46
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,365m,4%,840Mi,10%,
kind-worker,141m,1%,302Mi,3%,
kind-worker2,159m,1%,320Mi,4%,
kind-worker3,246m,3%,317Mi,3%,
idx,75,LOG_TIME,2023-05-14T19:15:47,2023-05-14T14:15:47
