idx,73,LOG_TIME,2023-08-30T04:48:16,2023-08-29T23:48:16,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1765m,22%,852Mi,10%,
kind-worker,159m,1%,429Mi,5%,
kind-worker2,56m,0%,329Mi,4%,
kind-worker3,43m,0%,314Mi,3%,
idx,74,LOG_TIME,2023-08-30T04:48:17,2023-08-29T23:48:17,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1765m,22%,852Mi,10%,
kind-worker,159m,1%,429Mi,5%,
kind-worker2,56m,0%,329Mi,4%,
kind-worker3,43m,0%,314Mi,3%,
idx,75,LOG_TIME,2023-08-30T04:48:18,2023-08-29T23:48:18,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1765m,22%,852Mi,10%,
kind-worker,159m,1%,429Mi,5%,
kind-worker2,56m,0%,329Mi,4%,
kind-worker3,43m,0%,314Mi,3%,
idx,76,LOG_TIME,2023-08-30T04:48:19,2023-08-29T23:48:19,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1692m,21%,854Mi,10%,
kind-worker,179m,2%,425Mi,5%,
kind-worker2,63m,0%,332Mi,4%,
kind-worker3,46m,0%,313Mi,3%,
idx,77,LOG_TIME,2023-08-30T04:48:20,2023-08-29T23:48:20,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1692m,21%,854Mi,10%,
kind-worker,179m,2%,425Mi,5%,
kind-worker2,63m,0%,332Mi,4%,
kind-worker3,46m,0%,313Mi,3%,
idx,78,LOG_TIME,2023-08-30T04:48:21,2023-08-29T23:48:22,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1692m,21%,854Mi,10%,
kind-worker,179m,2%,425Mi,5%,
kind-worker2,63m,0%,332Mi,4%,
kind-worker3,46m,0%,313Mi,3%,
idx,79,LOG_TIME,2023-08-30T04:48:22,2023-08-29T23:48:22,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1692m,21%,854Mi,10%,
kind-worker,179m,2%,425Mi,5%,
kind-worker2,63m,0%,332Mi,4%,
kind-worker3,46m,0%,313Mi,3%,
idx,80,LOG_TIME,2023-08-30T04:48:24,2023-08-29T23:48:24,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1692m,21%,854Mi,10%,
kind-worker,179m,2%,425Mi,5%,
kind-worker2,63m,0%,332Mi,4%,
kind-worker3,46m,0%,313Mi,3%,
idx,81,LOG_TIME,2023-08-30T04:48:25,2023-08-29T23:48:25,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1692m,21%,854Mi,10%,
kind-worker,179m,2%,425Mi,5%,
kind-worker2,63m,0%,332Mi,4%,
kind-worker3,46m,0%,313Mi,3%,
idx,82,LOG_TIME,2023-08-30T04:48:26,2023-08-29T23:48:26,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1692m,21%,854Mi,10%,
kind-worker,179m,2%,425Mi,5%,
kind-worker2,63m,0%,332Mi,4%,
kind-worker3,46m,0%,313Mi,3%,
idx,83,LOG_TIME,2023-08-30T04:48:27,2023-08-29T23:48:27,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1692m,21%,854Mi,10%,
kind-worker,179m,2%,425Mi,5%,
kind-worker2,63m,0%,332Mi,4%,
kind-worker3,46m,0%,313Mi,3%,
idx,84,LOG_TIME,2023-08-30T04:48:28,2023-08-29T23:48:28,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1692m,21%,854Mi,10%,
kind-worker,179m,2%,425Mi,5%,
kind-worker2,63m,0%,332Mi,4%,
kind-worker3,46m,0%,313Mi,3%,
idx,85,LOG_TIME,2023-08-30T04:48:29,2023-08-29T23:48:29,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
