idx,68,LOG_TIME,2023-09-19T17:02:58,2023-09-19T12:02:58,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1257m,15%,864Mi,10%,
kind-worker,247m,3%,386Mi,4%,
kind-worker2,153m,1%,342Mi,4%,
kind-worker3,256m,3%,398Mi,4%,
idx,69,LOG_TIME,2023-09-19T17:02:59,2023-09-19T12:02:59,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1228m,15%,863Mi,10%,
kind-worker,245m,3%,387Mi,4%,
kind-worker2,157m,1%,340Mi,4%,
kind-worker3,242m,3%,398Mi,4%,
idx,70,LOG_TIME,2023-09-19T17:03:00,2023-09-19T12:03:00,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1228m,15%,863Mi,10%,
kind-worker,245m,3%,387Mi,4%,
kind-worker2,157m,1%,340Mi,4%,
kind-worker3,242m,3%,398Mi,4%,
idx,71,LOG_TIME,2023-09-19T17:03:01,2023-09-19T12:03:01,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1228m,15%,863Mi,10%,
kind-worker,245m,3%,387Mi,4%,
kind-worker2,157m,1%,340Mi,4%,
kind-worker3,242m,3%,398Mi,4%,
idx,72,LOG_TIME,2023-09-19T17:03:02,2023-09-19T12:03:02,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1228m,15%,863Mi,10%,
kind-worker,245m,3%,387Mi,4%,
kind-worker2,157m,1%,340Mi,4%,
kind-worker3,242m,3%,398Mi,4%,
idx,73,LOG_TIME,2023-09-19T17:03:03,2023-09-19T12:03:03,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1228m,15%,863Mi,10%,
kind-worker,245m,3%,387Mi,4%,
kind-worker2,157m,1%,340Mi,4%,
kind-worker3,242m,3%,398Mi,4%,
idx,74,LOG_TIME,2023-09-19T17:03:04,2023-09-19T12:03:04,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1228m,15%,863Mi,10%,
kind-worker,245m,3%,387Mi,4%,
kind-worker2,157m,1%,340Mi,4%,
kind-worker3,242m,3%,398Mi,4%,
idx,75,LOG_TIME,2023-09-19T17:03:05,2023-09-19T12:03:05,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1228m,15%,863Mi,10%,
kind-worker,245m,3%,387Mi,4%,
kind-worker2,157m,1%,340Mi,4%,
kind-worker3,242m,3%,398Mi,4%,
idx,76,LOG_TIME,2023-09-19T17:03:06,2023-09-19T12:03:06,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1228m,15%,863Mi,10%,
kind-worker,245m,3%,387Mi,4%,
kind-worker2,157m,1%,340Mi,4%,
kind-worker3,242m,3%,398Mi,4%,
idx,77,LOG_TIME,2023-09-19T17:03:07,2023-09-19T12:03:07,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1228m,15%,863Mi,10%,
kind-worker,245m,3%,387Mi,4%,
kind-worker2,157m,1%,340Mi,4%,
kind-worker3,242m,3%,398Mi,4%,
idx,78,LOG_TIME,2023-09-19T17:03:08,2023-09-19T12:03:08,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1228m,15%,863Mi,10%,
kind-worker,245m,3%,387Mi,4%,
kind-worker2,157m,1%,340Mi,4%,
kind-worker3,242m,3%,398Mi,4%,
idx,79,LOG_TIME,2023-09-19T17:03:09,2023-09-19T12:03:09,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1312m,16%,848Mi,10%,
kind-worker,153m,1%,345Mi,4%,
kind-worker2,155m,1%,340Mi,4%,
kind-worker3,151m,1%,357Mi,4%,
idx,80,LOG_TIME,2023-09-19T17:03:10,2023-09-19T12:03:10,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1312m,16%,848Mi,10%,
kind-worker,153m,1%,345Mi,4%,
kind-worker2,155m,1%,340Mi,4%,
kind-worker3,151m,1%,357Mi,4%,
idx,81,LOG_TIME,2023-09-19T17:03:11,2023-09-19T12:03:11,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1312m,16%,848Mi,10%,
kind-worker,153m,1%,345Mi,4%,
kind-worker2,155m,1%,340Mi,4%,
kind-worker3,151m,1%,357Mi,4%,
idx,82,LOG_TIME,2023-09-19T17:03:12,2023-09-19T12:03:12,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1312m,16%,848Mi,10%,
kind-worker,153m,1%,345Mi,4%,
kind-worker2,155m,1%,340Mi,4%,
kind-worker3,151m,1%,357Mi,4%,
idx,83,LOG_TIME,2023-09-19T17:03:13,2023-09-19T12:03:13,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1312m,16%,848Mi,10%,
kind-worker,153m,1%,345Mi,4%,
kind-worker2,155m,1%,340Mi,4%,
kind-worker3,151m,1%,357Mi,4%,
idx,84,LOG_TIME,2023-09-19T17:03:14,2023-09-19T12:03:14,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1312m,16%,848Mi,10%,
kind-worker,153m,1%,345Mi,4%,
kind-worker2,155m,1%,340Mi,4%,
kind-worker3,151m,1%,357Mi,4%,
idx,85,LOG_TIME,2023-09-19T17:03:15,2023-09-19T12:03:15,-
