NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1100m,13%,1392Mi,17%,
kind-worker,43m,0%,367Mi,4%,
kind-worker2,159m,1%,414Mi,5%,
kind-worker3,54m,0%,392Mi,4%,
idx,57,LOG_TIME,2023-05-12T05:23:39,2023-05-12T00:23:39
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1100m,13%,1392Mi,17%,
kind-worker,43m,0%,367Mi,4%,
kind-worker2,159m,1%,414Mi,5%,
kind-worker3,54m,0%,392Mi,4%,
idx,58,LOG_TIME,2023-05-12T00:23:40,2023-05-12T00:23:40
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1100m,13%,1392Mi,17%,
kind-worker,43m,0%,367Mi,4%,
kind-worker2,159m,1%,414Mi,5%,
kind-worker3,54m,0%,392Mi,4%,
idx,59,LOG_TIME,2023-05-12T05:23:41,2023-05-12T00:23:41
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1100m,13%,1392Mi,17%,
kind-worker,43m,0%,367Mi,4%,
kind-worker2,159m,1%,414Mi,5%,
kind-worker3,54m,0%,392Mi,4%,
idx,60,LOG_TIME,2023-05-12T00:23:42,2023-05-12T00:23:42
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1100m,13%,1395Mi,17%,
kind-worker,42m,0%,365Mi,4%,
kind-worker2,196m,2%,413Mi,5%,
kind-worker3,54m,0%,392Mi,4%,
idx,61,LOG_TIME,2023-05-12T05:23:43,2023-05-12T05:23:43
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1100m,13%,1395Mi,17%,
kind-worker,42m,0%,365Mi,4%,
kind-worker2,196m,2%,413Mi,5%,
kind-worker3,54m,0%,392Mi,4%,
idx,62,LOG_TIME,2023-05-12T05:23:44,2023-05-12T00:23:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1100m,13%,1395Mi,17%,
kind-worker,42m,0%,365Mi,4%,
kind-worker2,196m,2%,413Mi,5%,
kind-worker3,54m,0%,392Mi,4%,
idx,63,LOG_TIME,2023-05-12T05:23:45,2023-05-12T00:23:45
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1100m,13%,1395Mi,17%,
kind-worker,42m,0%,365Mi,4%,
kind-worker2,196m,2%,413Mi,5%,
kind-worker3,54m,0%,392Mi,4%,
idx,64,LOG_TIME,2023-05-12T05:23:46,2023-05-12T00:23:46
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1100m,13%,1395Mi,17%,
kind-worker,42m,0%,365Mi,4%,
kind-worker2,196m,2%,413Mi,5%,
kind-worker3,54m,0%,392Mi,4%,
idx,65,LOG_TIME,2023-05-12T00:23:47,2023-05-12T00:23:47
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1100m,13%,1395Mi,17%,
kind-worker,42m,0%,365Mi,4%,
kind-worker2,196m,2%,413Mi,5%,
kind-worker3,54m,0%,392Mi,4%,
idx,66,LOG_TIME,2023-05-12T00:23:48,2023-05-12T00:23:48
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1100m,13%,1395Mi,17%,
kind-worker,42m,0%,365Mi,4%,
kind-worker2,196m,2%,413Mi,5%,
kind-worker3,54m,0%,392Mi,4%,
idx,67,LOG_TIME,2023-05-12T05:23:49,2023-05-12T00:23:49
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1100m,13%,1395Mi,17%,
kind-worker,42m,0%,365Mi,4%,
kind-worker2,196m,2%,413Mi,5%,
kind-worker3,54m,0%,392Mi,4%,
